Имя-RUS,Имя-ENG,Год рождения,Год смерти,Возраст,Эпоха,Переехал,Родился,Количество произведений
Мартину,Martinu,1890,1959,68,XX век,,Чехия,339
Мийо,Milhaud,1892,1974,81,XX век,,Франция,252
Шостакович,Shostakovich,1906,1975,68,XX век,,Россия,216
Вилла-Лобос Эйтор,Villa-Lobos,1887,1959,72,XX век,,Бразилия,213
Бриттен,Britten,1913,1976,63,XX век,,Великобритания,209
Хиндемит,Hindemith,1895,1963,68,XX век,,Германия,201
Прокофьев,Prokofiev,1891,1953,61,XX век,,Россия,175
Пуленк,Poulenc,1899,1963,64,XX век,,Франция,175
Гласс,Glass,1937,,,XX век,,США,154
Пьяццолла,Piazzolla,1921,1992,71,XX век,,Аргентина,128
Вайнберг,Weinberg,1919,1996,77,XX век,,Россия,122
Щедрин,Shchedrin,1932,2025,92,XX век,,Россия,115
Онеггер,Honegger,1892,1955,63,XX век,,Франция,112
Мясковский,Myaskovsky,1881,1950,69,XX век,,Россия,110
Пярт,Pärt,1935,,,XX век,,Эстония,104
Родриго,Rodrigo,1901,1999,97,"XX век",,Испания,103
Свиридов,Sviridov,1915,1998,82,XX век,,Россия,100
Гершвин,Gershwin,1898,1937,38,XX век,,США,91
Холст,Holst,1874,1934,59,XX век,,Великобритания,91
Такемицу,Takemitsu,1930,1996,65,XX век,,Япония,87
Бернстайн,Bernstein,1918,1990,72,XX век,,США,84
Копленд,Copland,1900,1990,90,XX век,,США,76
Хачатурян,Khachaturian,1903,1978,74,XX век,,Россия,58
Кабалевский,Kabalevsky,1904,1987,82,XX век,,Россия,57
Барбер,Barber,1910,1981,70,XX век,,США,56
Адамс,Adams,1947,,,XX век,,США,50
Райх,Reich,1936,,,XX век,,США,47
Десятников,Desyatnikov,1955,,,XX век,,Россия,33
Буланже Лили,Lili Boulanger,1893,1918,24,XX век,,Франция,29
Орф Карл,Orff,1895,1982,86,XX век,,Германия,23
Хисаиси,Hisaishi,1950,,,"XX век, XXI век",,Япония,35
Кейдж,Cage,1912,1992,79,Авангард,,США,245
Шнитке,Schnittke,1934,1998,63,Авангард,,Россия,151
Штокхаузен,Stockhausen,1928,2007,79,Авангард,,Германия,140
Ксенакис,Xenakis,1922,2001,78,Авангард,Франция,Греция,134
Губайдулина,Gubaidulina,1931,2025,93,Авангард,,Россия,99
Денисов,Denisov,1929,1996,67,Авангард,,Россия,97
Лигети,Ligeti,1923,2006,83,Авангард,Австрия,Венгрия,82
Пендерецкий,Penderecki,1933,2020,86,Авангард,,Польша,82
Мессиан,Messiaen,1908,1992,83,Авангард,,Франция,67
Саариахо,Saariaho,1952,2023,70,Авангард,,Финляндия,61
Лютославский,Lutosławski,1913,1994,81,Авангард,,Польша,55
Булез,Boulez,1925,2016,90,Авангард,,Франция,43
Ноно,Nono,1924,1990,66,Авангард,,Италия,40
Мюрай,Murail,1947,,,Авангард,,Франция,33
Уствольская,Ustvolskaya,1919,2006,87,Авангард,,Россия,25
Гризе,Grisey,1946,1998,52,"Авангард",,Франция,19
Кроуфорд Сигер,Crawford Seeger,1901,1953,52,Авангард,,США,3
Сильвестров,Silvestrov,1937,,,"Авангард, XX век",,Украина,154
Бах И. С.,J. S. Bach,1685,1750,65,Барокко,,Германия,1090
Телеман,Telemann,1681,1767,86,Барокко,,Германия,799
Вивальди,Vivaldi,1678,1741,63,Барокко,,Италия,787
Гендель,Handel ,1685,1759,74,Барокко,Великобритания,Германия,654
Скарлатти Доменико,D. Scarlatti,1685,1757,71,Барокко,,Италия,622
Скарлатти Алессандро,Alessandro Scarlatti,1660,1725,65,Барокко,,Италия,530
Пёрселл,Purcell,1659,1695,36,Барокко,,Великобритания,420
Шарпантье Марк-Антуан,Marc-Antoine Charpentier,1643,1704,61,Барокко,,Франция,280
Букстехуде,Buxtehude,1637,1707,70,Барокко,Германия,Дания,278
Пахельбель,Pachelbel,1653,1706,52,Барокко,,Германия,246
Альбинони,Albinoni,1671,1751,79,Барокко,,Италия,207
Зеленка,Zelenka,1679,1745,66,Барокко,Германия,Чехия,181
Бибер,Biber,1644,1704,59,Барокко,Австрия,Чехия,96
Корелли,Corelli,1653,1713,59,Барокко,,Италия,93
Люлли,Lully,1632,1687,54,Барокко,Франция,Италия,93
Рамо,Rameau,1683,1764,80,Барокко,,Франция,93
Куперен,Couperin,1668,1733,64,Барокко,,Франция,84
Маре Марен,Marin Marais,1656,1728,72,Барокко,,Франция,73
Перголези,Pergolesi,1710,1736,26,Барокко,,Италия,71
Строцци,Strozzi,1619,1677,58,Барокко,,Италия,56
Леонарда,Leonarda,1620,1704,83,Барокко,,Италия,21
Бах К. Ф. Э.,C. P. E. Bach,1714,1788,74,"Барокко, Классицизм",,Германия,794
Глюк,Gluck,1714,1787,73,"Барокко, Классицизм",Австрия,Германия,59
Лассо Орландо,Orlando di Lasso,1532,1594,62,Возрождение,,Нидерланды ,485
Доуленд Джон,John Dowland,1563,1626,63,Возрождение,,Великобритания,229
Виктория Томас Луис де,Tomás Luis de Victoria,1548,1611,63,"Возрождение",,Испания,212
Бёрд Уильям,William Byrd,1540,1623,83,Возрождение,,Великобритания,204
Жоскен Депре,Josquin des Prés,1450,1521,71,Возрождение,,Нидерланды ,172
Вилларт,Willaert,1490,1562,72,Возрождение,,Нидерланды ,138
Палестрина,Palestrina,1525,1594,68,Возрождение,,Италия,129
Дюфаи Гийом,Guillaume Dufay,1397,1474,77,Возрождение,,Нидерланды ,122
Джезуальдо Карло,Carlo Gesualdo,1566,1613,47,Возрождение,,Италия,86
Таллис,Tallis,1505,1585,80,Возрождение,,Великобритания,80
Обрехт,Obrecht,1457,1505,48,"Возрождение",,Нидерланды ,37
Окегем,Ockeghem,1410,1497,87,Возрождение,,Нидерланды ,27
Шютц,Schütz,1585,1672,87,"Возрождение, Барокко",,Германия,291
Монтеверди,Monteverdi,1567,1643,76,"Возрождение, Барокко",,Италия,224
Фрескобальди,Frescobaldi,1583,1643,59,"Возрождение, Барокко",,Италия,213
Свелинк,Sweelinck,1562,1621,59,"Возрождение, Барокко",,Нидерланды,139
Габриэли Джованни,Giovanni Gabrieli,1557,1612,55,"Возрождение, Барокко",,Италия,66
Каччини Джулио,Giulio Caccini,1551,1618,67,"Возрождение, Барокко",,Италия,52
